web_scraper_order,web_scraper_start_url,image
"1768978604-1","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/2capintense_soraloneshampoo_0f771cd8-ccfc-43d6-9a97-817fafcff98e.png?v=1748536897&width=900"
"1768978604-2","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/WhatsAppImage2025-09-01at15.08.50.jpg?v=1756735678&width=900"
"1768978604-3","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/WhatsAppImage2025-09-01at15.34.10.jpg?v=1756736823&width=900"
"1768978604-4","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/WhatsAppImage2025-09-01at15.31.20.jpg?v=1756738172&width=900"
"1768978604-5","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/ss_cica.png?v=1754243318&width=900"
"1768978604-6","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/copperpeptide_pirlome.png?v=1764808274&width=900"
"1768978604-7","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/hyaluronic_pirlome.png?v=1764809364&width=500"
"1768978604-8","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/niacinamide_pirlome.png?v=1764809157&width=500"
"1768978604-9","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/retinol_pirlome.png?v=1764809595&width=500"
"1768978604-10","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/WhatsAppImage2025-09-01at15.08.52_1.jpg?v=1756734445&width=500"
"1768978604-11","https://e-majestic.com/ar/collections/offers","https://e-majestic.com/cdn/shop/files/VITC_pirlome.png?v=1764808863&width=500"
